Ensembl Gene ID	RefSeq mRNA	RefSeq Protein ID	RefSeq Predicted Protein ID
ENSG00000256229	NM_052852	NP_443084	
ENSG00000237440	NM_001159293	NP_001152765	
ENSG00000188171			
ENSG00000188171	NM_001076675	NP_001070143	
ENSG00000188171	NM_145297	NP_660340	
ENSG00000125611	NM_032309	NP_115685	
ENSG00000125611			
ENSG00000117528	NM_002858	NP_002849	
ENSG00000117528	NM_001122674	NP_001116146	
ENSG00000117528			
ENSG00000144136	NM_005415	NP_005406	
ENSG00000144136			
ENSG00000105750	NM_003429	NP_003420	
ENSG00000105750			
ENSG00000118620	NM_001172671	NP_001166142	
ENSG00000118620	NM_025189	NP_001166142	
ENSG00000118620	NM_001172671	NP_079465	
ENSG00000118620	NM_025189	NP_079465	
ENSG00000144130			XP_001716593
ENSG00000160352			
ENSG00000160352	NM_182515	NP_872321	
ENSG00000196705	NM_133473	NP_597730	
ENSG00000182141	NM_021269	NP_067092	
ENSG00000172687			
ENSG00000169607	NM_152515	NP_689728	
ENSG00000169607			
ENSG00000196268	NM_175910	NP_001070146	
ENSG00000196268	NM_001076678	NP_001070146	
ENSG00000196268	NM_175910	NP_787106	
ENSG00000196268	NM_001076678	NP_787106	
ENSG00000196268	NM_145326	NP_663299	
ENSG00000115008	NM_000575	NP_000566	
ENSG00000197013	NM_001001415	NP_001001415	
ENSG00000197020	NM_173531	NP_775802	
ENSG00000125538	NM_000576	NP_000567	
ENSG00000117525	NM_001993	NP_001984	
ENSG00000125538			
ENSG00000117525	NM_001178096	NP_001171567	
ENSG00000198521	NM_003423	NP_003414	
ENSG00000198521			
ENSG00000160321			
ENSG00000160321	NM_007153	NP_009084	
ENSG00000125571	NM_014439	NP_055254	
ENSG00000197134	NM_033468	NP_258429	
ENSG00000197134			
ENSG00000125571	NM_173202	NP_775294	
ENSG00000125571	NM_173203	NP_775295	
ENSG00000125571	NM_173204	NP_775296	
ENSG00000125571	NM_173205	NP_775297	
ENSG00000196109	NM_001001411	NP_001001411	
ENSG00000196350	NM_001242680	NP_001229609	
ENSG00000197360	NM_001098626	NP_001092096	
ENSG00000229676	NM_020855	NP_065906	
ENSG00000136688			
ENSG00000198153			
ENSG00000136688	NM_019618	NP_062564	
ENSG00000136694	NM_014440	NP_055255	
ENSG00000136694			
ENSG00000136696	NM_014438	NP_055253	
ENSG00000136696	NM_173178	NP_775270	
ENSG00000143036		NP_689582	
ENSG00000143036	NM_152369	NP_689582	
ENSG00000143036	NM_001114106	NP_689582	
ENSG00000143036	NM_152369	NP_001107578	
ENSG00000143036	NM_001114106	NP_001107578	
ENSG00000143036			
ENSG00000136695	NM_012275	NP_775262	
ENSG00000136695	NM_173170	NP_775262	
ENSG00000136695	NM_012275	NP_036407	
ENSG00000136695	NM_173170	NP_036407	
ENSG00000136695			
ENSG00000180081	NM_001080409	NP_001073878	
ENSG00000136697	NM_032556	NP_775184	
ENSG00000136697	NM_173161	NP_775184	
ENSG00000136697	NM_032556	NP_115945	
ENSG00000136697	NM_173161	NP_115945	
ENSG00000136697			
ENSG00000213973			
ENSG00000183850			XP_001719844
ENSG00000183850			XP_001715117
ENSG00000196081			
ENSG00000213971			
ENSG00000167232	NM_003430	NP_003421	
ENSG00000167232			
ENSG00000136689	NM_173843	NP_776215	
ENSG00000136689	NM_173841	NP_776215	
ENSG00000136689	NM_173841	NP_776213	
ENSG00000136689	NM_000577	NP_776215	
ENSG00000136689	NM_173842	NP_776215	
ENSG00000136689	NM_000577	NP_000568	
ENSG00000136689	NM_173842	NP_000568	
ENSG00000197372	NM_138330	NP_612203	
ENSG00000136689	NM_173842	NP_776214	
ENSG00000196172	NM_138286	NP_612143	
ENSG00000196172			
ENSG00000205246			
ENSG00000125637	NM_012455	NP_036587	
ENSG00000125637			
ENSG00000213967	NM_001190829	NP_001177758	
ENSG00000213967			
ENSG00000213096	NM_203282	NP_975011	
ENSG00000213096			
ENSG00000169021	NM_006003	NP_005994	
ENSG00000187135	NM_001146339	NP_001139811	
ENSG00000105171	NM_006627	NP_006618	
ENSG00000125618	NM_013953	NP_039247	
ENSG00000105171			
ENSG00000125618	NM_013992	NP_054698	
ENSG00000125618	NM_013952	NP_039246	
ENSG00000125618	NM_003466	NP_003457	
ENSG00000166289	NM_024310	NP_077286	
ENSG00000125618			
ENSG00000131943	NM_031448	NP_113636	
ENSG00000131943	NM_001031726	NP_113636	
ENSG00000131943			
ENSG00000131943	NM_001031726	NP_001026896	
ENSG00000105173	NM_001238	NP_001229	
ENSG00000105173			
ENSG00000105173	NM_057182		
ENSG00000117519	NM_001839	NP_001830	
ENSG00000117519			
ENSG00000136682	NM_172003	NP_742000	
ENSG00000136682			
ENSG00000136682	NM_001145356		
ENSG00000136682	NM_001145355		
ENSG00000105176			
ENSG00000105176	NM_003796	NP_003787	
ENSG00000105176	NM_134447	NP_604431	
ENSG00000105176	NM_003796		
ENSG00000172339	NM_144988	NP_659425	
ENSG00000198597	NM_014717	NP_055532	
ENSG00000152078	NM_001199679	NP_689700	
ENSG00000152078	NM_152487	NP_689700	
ENSG00000152078	NM_001199679	NP_001186608	
ENSG00000152078	NM_152487	NP_001186608	
ENSG00000152078			
ENSG00000121297	NM_020856	NP_065907	
ENSG00000168813	NM_014910	NP_001129628	
ENSG00000168813	NM_001136156	NP_001129628	
ENSG00000168813	NM_014910	NP_055725	
ENSG00000168813	NM_001136156	NP_055725	
ENSG00000168813			
ENSG00000238091			
ENSG00000184492	NM_012184	NP_036316	
ENSG00000122481	NM_015485	NP_056300	
ENSG00000122481	NM_001128142	NP_001121614	
ENSG00000122481			
ENSG00000144134	NM_007082	NP_038198	
ENSG00000144134	NM_013412	NP_038198	
ENSG00000144134	NM_007082	NP_009013	
ENSG00000144134	NM_013412	NP_009013	
ENSG00000178904	NM_207325	NP_997208	
ENSG00000178904	NM_001172774	NP_997208	
ENSG00000178904	NM_207325	NP_001166245	
ENSG00000178904	NM_001172774	NP_001166245	
ENSG00000144134			
ENSG00000178904			
ENSG00000144134	NM_007082		
ENSG00000105185	NM_004708	NP_004699	
ENSG00000105185			
ENSG00000117569	NM_021190		
ENSG00000117569			
ENSG00000117569	NM_021190	NP_067013	
ENSG00000105186	NM_032139	NP_115515	
ENSG00000186326	NM_207391	NP_997274	
ENSG00000213965	NM_001105570	NP_001099040	
ENSG00000173809			
ENSG00000173809	NM_001110822	NP_001104292	
ENSG00000021488	NM_001243036	NP_001229965	
ENSG00000021488	NM_014270	NP_001229965	
ENSG00000021488	NM_001126335	NP_001229965	
ENSG00000021488	NM_001243036	NP_001119807	
ENSG00000021488	NM_014270	NP_001119807	
ENSG00000021488	NM_001126335	NP_001119807	
ENSG00000021488	NM_001243036	NP_055085	
ENSG00000021488	NM_014270	NP_055085	
ENSG00000021488	NM_001126335	NP_055085	
ENSG00000121289	NM_032816	NP_116205	
ENSG00000131944	NM_152266	NP_689479	
ENSG00000131941	NM_033103	NP_149094	
ENSG00000131941			
ENSG00000188641	NM_000110	NP_000101	
ENSG00000188641	NM_001160301	NP_001153773	
ENSG00000188641			
ENSG00000076650	NM_018025	NP_060495	
ENSG00000162627	NM_152238	NP_689424	
ENSG00000162627	NM_015976	NP_057060	
ENSG00000162627			
ENSG00000166359	NM_173479	NP_775750	
ENSG00000166359			
ENSG00000130881	NM_002333	NP_002324	
ENSG00000130881			
ENSG00000130876	NM_019849	NP_062823	
ENSG00000117598	NM_001010861	NP_001010861	
ENSG00000117598	NM_001037317	NP_001010861	
ENSG00000117598	NM_001037317	NP_001032394	
ENSG00000245848	NM_004364	NP_004355	
ENSG00000153879	NM_001806	NP_001797	
ENSG00000124299	NM_000285	NP_000276	
ENSG00000124299	NM_001166056	NP_001159528	
ENSG00000124299	NM_001166057	NP_001159529	
ENSG00000117600	NM_014839	NP_055654	
ENSG00000117600			
ENSG00000117600	NM_001166252	NP_001159724	
ENSG00000124302	NM_022467	NP_001121368	
ENSG00000124302	NM_001127895	NP_001121368	
ENSG00000124302	NM_001127896	NP_001121368	
ENSG00000124302	NM_022467	NP_001121367	
ENSG00000124302	NM_001127895	NP_001121367	
ENSG00000124302	NM_001127896	NP_001121367	
ENSG00000124302	NM_022467	NP_071912	
ENSG00000124302	NM_001127895	NP_071912	
ENSG00000124302	NM_001127896	NP_071912	
ENSG00000153885		NP_001123467	
ENSG00000153885		NP_001123466	
ENSG00000153885	NM_001129994	NP_001123467	
ENSG00000153885	NM_001129995	NP_001123467	
ENSG00000153885	NM_001129994	NP_001123466	
ENSG00000153885	NM_001129995	NP_001123466	
ENSG00000153885	NM_024076	NP_076981	
ENSG00000153885			
ENSG00000099260	NM_017734	NP_060204	
ENSG00000186008			
ENSG00000257103	NM_015578	NP_056393	
ENSG00000257103	NM_001114093	NP_001107565	
ENSG00000257103			
ENSG00000156869	NM_001013660	NP_001013682	
ENSG00000156869			
ENSG00000153237	NM_138803	NP_620158	
ENSG00000166398	NM_014686	NP_055501	
ENSG00000166398			
ENSG00000153237			
ENSG00000153237	NM_001171637		
ENSG00000153237	NM_001171637	NP_001165108	
ENSG00000105220	NM_001184722	NP_001171651	
ENSG00000105220			
ENSG00000105220	NM_000175	NP_000166	
ENSG00000108947	NM_001406	NP_001397	
ENSG00000237276			
ENSG00000183914			
ENSG00000183914	NM_020877	NP_065928	
ENSG00000132881	NM_030907	NP_112169	
ENSG00000132881			
ENSG00000204377			
ENSG00000037637	NM_018994	NP_061867	
ENSG00000037637			
ENSG00000055070	NM_001114600	NP_001108072	
ENSG00000055070			
ENSG00000055070	NM_015609	NP_056424	
ENSG00000144283			
ENSG00000144283	NM_001005476	NP_001005476	
ENSG00000144283	NM_003628	NP_003619	
ENSG00000144283	NM_003628		
ENSG00000132510	NM_001080424	NP_001073893	
ENSG00000132510			
ENSG00000167874	NM_203411	NP_981956	
ENSG00000183011			
ENSG00000183011	NM_032356	NP_115732	
ENSG00000187144			
