Ensembl Gene ID	RefSeq mRNA	RefSeq Protein ID	RefSeq Predicted Protein ID
ENSG00000163162	NM_173647	NP_775918	
ENSG00000170088			
ENSG00000134444	NM_020854	NP_065905	
ENSG00000072571	NM_012484	NP_036616	
ENSG00000072571	NM_001142557	NP_036616	
ENSG00000133460			
ENSG00000109794		NP_001006656	
ENSG00000109794		NP_056213	
ENSG00000146085	NM_000255	NP_000246	
ENSG00000133460	NM_030807	NP_110434	
ENSG00000134444			
ENSG00000107771			
ENSG00000146085			
ENSG00000106799	NM_004612	NP_004603	
ENSG00000106799	NM_001130916	NP_004603	
ENSG00000157617			
ENSG00000204859			
ENSG00000106799	NM_001130916	NP_001124388	
ENSG00000160563	NM_004269	NP_004260	
ENSG00000160563			
ENSG00000135451	NM_005480	NP_005471	
ENSG00000197323	NM_015906	NP_056990	
ENSG00000258339			
ENSG00000154059	NM_018439	NP_060909	
ENSG00000187021			
ENSG00000107771	NM_018999	NP_061872	
ENSG00000198089	NM_014775	NP_055590	
ENSG00000229597			
ENSG00000197323	NM_033020	NP_148980	
ENSG00000184221	NM_138983	NP_620450	
ENSG00000163462	NM_025058		
ENSG00000198089			
ENSG00000197323			
ENSG00000184221			
ENSG00000163462	NM_025058	NP_079334	
ENSG00000133794			
ENSG00000229597	NM_019602	NP_062548	
ENSG00000152503	NM_018700	NP_061170	
ENSG00000241386			
ENSG00000183072	NM_004387	NP_004378	
ENSG00000204859	NM_005341	NP_005332	
ENSG00000198089	NM_001007467	NP_001007468	
ENSG00000152503			
ENSG00000183072	NM_001166175	NP_001159647	
ENSG00000157617	NM_199050	NP_950251	
ENSG00000125347	NM_002198	NP_002189	
ENSG00000183072	NM_001166176	NP_001159648	
ENSG00000231618		NP_085155	
ENSG00000152219	NM_152316	NP_689529	
ENSG00000183072		NP_001159647	
ENSG00000134516	NM_004946	NP_004937	
ENSG00000157617	NM_015500	NP_950251	
ENSG00000157617	NM_015500	NP_056315	
ENSG00000125347			
ENSG00000152219			
ENSG00000152503	NM_001017397	NP_001017397	
ENSG00000185567			
ENSG00000133460	NM_001024939	NP_001020110	
ENSG00000162105		NP_036441	
ENSG00000241386		NP_002111	
ENSG00000243137	NM_213633	NP_998798	
ENSG00000162105	NM_133266	NP_573573	
ENSG00000162105	NM_012309	NP_573573	
ENSG00000152503	NM_001017398	NP_001017398	
ENSG00000187021	NM_006229	NP_006220	
ENSG00000206308			
ENSG00000243137	NM_002780	NP_002771	
ENSG00000185567	NM_138420	NP_612429	
ENSG00000229086			
ENSG00000243137			
ENSG00000134516			
ENSG00000256040			
ENSG00000141655	NM_003839	NP_003830	
ENSG00000141655			
ENSG00000213760			
ENSG00000213760	NM_001204078	NP_001191007	
ENSG00000066382	NM_001145399	NP_001138871	
ENSG00000049540			
ENSG00000112539	NM_144980	NP_659417	
ENSG00000066382	NM_001584	NP_001575	
ENSG00000213760	NM_130463	NP_569730	
ENSG00000213760	NM_130463	NP_612139	
ENSG00000165029	NM_005502	NP_005493	
ENSG00000112539			
ENSG00000165029			
ENSG00000213760	NM_138282	NP_612139	
ENSG00000066382			
ENSG00000113739	NM_003714	NP_003705	
ENSG00000213760		NP_612139	
ENSG00000141664	NM_017742	NP_060212	
ENSG00000113739			
ENSG00000122591	NM_032581	NP_115970	
ENSG00000049540	NM_000501	NP_000492	
ENSG00000258691			
ENSG00000164542	NM_001100425	NP_001093895	
ENSG00000122591			
ENSG00000196101			
ENSG00000164542	NM_001199707	NP_001186636	
ENSG00000116752	NM_005872	NP_005863	
ENSG00000206306			
ENSG00000159110	NM_000874	NP_997467	
ENSG00000159110	NM_207584	NP_997467	
ENSG00000159110	NM_000874	NP_000865	
ENSG00000159110	NM_207584	NP_000865	
ENSG00000164542	NM_015314	NP_056129	
ENSG00000206268	NM_002904	NP_002895	
ENSG00000058091			
ENSG00000164542	NM_001199708	NP_001186637	
ENSG00000164542	NM_001199706	NP_001186637	
ENSG00000164542	NM_001199708	NP_001186635	
ENSG00000164542	NM_001199706	NP_001186635	
ENSG00000187848	NM_170682	NP_733782	
ENSG00000187848	NM_174872	NP_733782	
ENSG00000164542			
ENSG00000153786	NM_017740	NP_060210	
ENSG00000163810	NM_003241	NP_003232	
ENSG00000206305			
ENSG00000159110	NM_207585	NP_997468	
ENSG00000153786	NM_001145548	NP_001139020	
ENSG00000148219	NM_001184734	NP_001171663	
ENSG00000148219	NM_198186	NP_001171663	
ENSG00000148219	NM_001184734	NP_937830	
ENSG00000148219	NM_198186	NP_937830	
ENSG00000148219	NM_001184734	NP_937829	
ENSG00000148219	NM_198186	NP_937829	
ENSG00000159110			
ENSG00000081913	NM_194449	NP_919431	
ENSG00000163810			
ENSG00000187848			
ENSG00000111666	NM_020244	NP_064629	
ENSG00000206268			
ENSG00000081913	NM_194449		
ENSG00000148219	NM_198187	NP_001171663	
ENSG00000148219	NM_198188	NP_001171663	
ENSG00000148219	NM_001184734	NP_937831	
ENSG00000148219	NM_198187	NP_937831	
ENSG00000148219	NM_198188	NP_937831	
ENSG00000111666			
ENSG00000183668	NM_002784	NP_002775	
ENSG00000215494			
ENSG00000187848	NM_170683	NP_733783	
ENSG00000257538			
ENSG00000133794	NM_001178	NP_001025443	
ENSG00000133794	NM_001030272	NP_001025443	
ENSG00000133794	NM_001178	NP_001169	
ENSG00000133794	NM_001030272	NP_001169	
ENSG00000183668			
ENSG00000133794	NM_001030273		
ENSG00000136059	NM_015873	NP_056957	
ENSG00000136059			
ENSG00000206268		NP_002895	
ENSG00000187848	NM_012226	NP_036358	
ENSG00000173276	NM_001098403	NP_001091873	
ENSG00000187848	NM_016318	NP_057402	
ENSG00000173276	NM_020727	NP_001091872	
ENSG00000173276	NM_001098402	NP_001091872	
ENSG00000173276	NM_020727	NP_065778	
ENSG00000173276	NM_001098402	NP_065778	
ENSG00000187848	NM_174872	NP_777361	
ENSG00000133794	NM_001030273	NP_001025444	
ENSG00000134489	NM_001160166	NP_001153638	
ENSG00000134489	NM_021624	NP_001153638	
ENSG00000134489	NM_001160166	NP_067637	
ENSG00000134489	NM_021624	NP_067637	
ENSG00000214944			
ENSG00000206302			
ENSG00000065621	NM_183239	NP_899062	
ENSG00000065621	NM_183239	NP_001177943	
ENSG00000187848	NM_174873	NP_777362	
ENSG00000049540	NM_001081752	NP_001075221	
ENSG00000134489	NM_001143828	NP_001137300	
ENSG00000196923			
ENSG00000065621	NM_001191014	NP_001177943	
ENSG00000257213			
ENSG00000173276			
ENSG00000214944	NM_001080479	NP_001073948	
ENSG00000185499	NM_001204286	NP_001191215	
ENSG00000185499	NM_001204285	NP_001191215	
ENSG00000185499	NM_001204286	NP_001191214	
ENSG00000185499	NM_001204285	NP_001191214	
ENSG00000215431			
ENSG00000214944	NM_001177693	NP_001171164	
ENSG00000049540	NM_001081754	NP_001075223	
ENSG00000065621	NM_001191015	NP_001177942	
ENSG00000065621	NM_001191013	NP_001177942	
ENSG00000065621	NM_001191015	NP_001177944	
ENSG00000065621	NM_001191013	NP_001177944	
ENSG00000171791	NM_000633	NP_000624	
ENSG00000065621			
ENSG00000206466		NP_068703	
ENSG00000171791	NM_000657	NP_000648	
ENSG00000175874	NM_153836	NP_722578	
ENSG00000139132		NP_640334	
ENSG00000235650	NM_022551	NP_072045	
ENSG00000185189	NM_178564	NP_848659	XP_003403866
ENSG00000212864	NM_031297	NP_112587	
ENSG00000196923	NM_203352	NP_976227	
ENSG00000171133	NM_205859	NP_995581	
ENSG00000235650			
ENSG00000185189			
ENSG00000232957		NP_002110	
ENSG00000258512			
ENSG00000197191	NM_199001	NP_945352	
ENSG00000049540	NM_001081752	NP_001075222	
ENSG00000049540	NM_001081753	NP_001075222	
ENSG00000196923	NM_005451	NP_005442	
ENSG00000188487	NM_001031853	NP_001036001	
ENSG00000188487	NM_001031853	NP_001027024	
ENSG00000188487	NM_001042536	NP_001036001	
ENSG00000175984	NM_198459	NP_940861	
ENSG00000232957			
ENSG00000119537	NM_002035	NP_002026	
ENSG00000175984			
ENSG00000239789	NM_015969	NP_057053	
ENSG00000188487			
ENSG00000049540	NM_001081755	NP_001075224	
ENSG00000119537			
ENSG00000239789			
ENSG00000185499	NM_001204291	NP_001191220	
ENSG00000185499	NM_001018016	NP_001191220	
ENSG00000185499	NM_001204291	NP_001018016	
ENSG00000185499	NM_001018016	NP_001018016	
ENSG00000233198	NM_001190228	NP_001177157	
ENSG00000196923	NM_213636	NP_998801	
ENSG00000148219	NM_014010	NP_001171663	
ENSG00000148219	NM_014010	NP_937830	
ENSG00000148219	NM_001184734	NP_054729	
ENSG00000148219	NM_014010	NP_054729	
ENSG00000196460			
ENSG00000185499	NM_001204290	NP_001191219	
ENSG00000185499	NM_001204289	NP_001191219	
ENSG00000185499	NM_001204290	NP_001191218	
ENSG00000185499	NM_001204289	NP_001191218	
ENSG00000088812	NM_139321	NP_647537	
ENSG00000148219			
ENSG00000225103			
ENSG00000151233	NM_173601	NP_775872	
ENSG00000151233	NM_001099650	NP_775872	
ENSG00000148219	NM_001184735	NP_001171664	
ENSG00000088812	NM_001207047	NP_001193976	
ENSG00000088812	NM_139322	NP_001193976	
ENSG00000088812	NM_001207047	NP_647538	
ENSG00000088812	NM_139322	NP_647538	
ENSG00000151233	NM_001099650	NP_001093120	
ENSG00000139132			
ENSG00000111684			
ENSG00000228582		NP_061313	
ENSG00000011275	NM_207111	NP_996999	
ENSG00000011275	NM_207116	NP_996999	
ENSG00000196610			
ENSG00000228582			
ENSG00000088812			
ENSG00000196460	NM_001145664	NP_001139136	
ENSG00000058091	NM_012395	NP_036527	
ENSG00000198569	NM_080877	NP_543153	
ENSG00000198569	NM_001177317	NP_543153	
ENSG00000198569	NM_001177316	NP_543153	
ENSG00000198569	NM_080877	NP_001170788	
ENSG00000198569	NM_001177317	NP_001170788	
ENSG00000198569	NM_001177316	NP_001170788	
ENSG00000198569	NM_080877	NP_001170787	
ENSG00000198569	NM_001177317	NP_001170787	
ENSG00000198569	NM_001177316	NP_001170787	
ENSG00000185499	NM_001204297	NP_001191226	
ENSG00000206466		NP_001461	
ENSG00000185499	NM_001044391	NP_001037856	
ENSG00000185499	NM_001044392	NP_001037856	
ENSG00000185499	NM_001044391	NP_001037857	
ENSG00000185499	NM_001044392	NP_001037857	
ENSG00000159618	NM_153837	NP_722579	
ENSG00000011275	NM_207111	NP_996994	
ENSG00000159618			
ENSG00000206466	NM_021904	NP_068704	
ENSG00000172197	NM_001080480	NP_001073949	
ENSG00000111684	NM_005768	NP_005759	
ENSG00000226936	NM_003782	NP_003773	
ENSG00000213132			
ENSG00000112541	NM_006661	NP_006652	
ENSG00000172197			
ENSG00000197604			
ENSG00000139132	NM_139241	NP_640334	
ENSG00000112541	NM_001130690	NP_001124162	
ENSG00000198795	NM_015461	NP_056276	
ENSG00000146733	NM_004577	NP_004568	
ENSG00000198795			
ENSG00000112541			
ENSG00000011275			
ENSG00000100739	NM_000710	NP_000701	
ENSG00000204936			
ENSG00000100739			
ENSG00000188001	NM_198485	NP_940887	
ENSG00000185499	NM_001204296	NP_001191225	
ENSG00000185499	NM_001044390	NP_001191225	
ENSG00000185499	NM_001204296	NP_001037855	
ENSG00000185499	NM_001044390	NP_001037855	
ENSG00000188001			
ENSG00000146733			
ENSG00000185499	NM_001204295	NP_001191224	
ENSG00000107719			
ENSG00000198176	NM_007111	NP_009042	
ENSG00000107719	NM_014431	NP_055246	
ENSG00000224389	NM_001002029	NP_001002029	
ENSG00000185499	NM_001204294	NP_001191223	
ENSG00000185499	NM_001204292	NP_001191223	
ENSG00000185499	NM_001204294	NP_001191221	
ENSG00000185499	NM_001204292	NP_001191221	
ENSG00000185499	NM_001018017	NP_001018017	
ENSG00000198176			
ENSG00000164167	NM_007080	NP_009011	
ENSG00000185499	NM_001204287	NP_001191216	
ENSG00000185499	NM_002456	NP_001191216	
ENSG00000185499	NM_001204287	NP_002447	
ENSG00000185499	NM_002456	NP_002447	
ENSG00000139351	NM_153694	NP_001171420	
ENSG00000139351	NM_001177948	NP_001171420	
ENSG00000139351	NM_001177949	NP_001171420	
ENSG00000139351	NM_153694	NP_001171419	
ENSG00000139351	NM_001177948	NP_001171419	
ENSG00000139351	NM_001177949	NP_001171419	
ENSG00000139351	NM_153694	NP_710161	
ENSG00000139351	NM_001177948	NP_710161	
ENSG00000139351	NM_001177949	NP_710161	
ENSG00000163832	NM_001031703	NP_001026873	
ENSG00000111424	NM_001017536	NP_001017535	
ENSG00000111424	NM_000376	NP_001017535	
ENSG00000111424	NM_001017535	NP_001017535	
ENSG00000111424	NM_001017536	NP_000367	
ENSG00000111424	NM_000376	NP_000367	
ENSG00000111424	NM_001017535	NP_000367	
ENSG00000163832			
ENSG00000111424		NP_001017535	
ENSG00000111424		NP_000367	
ENSG00000111424		NP_001017536	
ENSG00000206342			
ENSG00000111424			
ENSG00000177398	NM_001199527	NP_001186456	
ENSG00000103042	NM_018231	NP_060701	
ENSG00000129048	NM_016557	NP_848540	
ENSG00000129048	NM_178445	NP_848540	
ENSG00000129048	NM_016557	NP_057641	
ENSG00000129048	NM_178445	NP_057641	
ENSG00000185499			
ENSG00000204618	NM_170769	NP_739575	
ENSG00000186009	NM_000705	NP_000696	
ENSG00000188229	NM_006088	NP_006079	
ENSG00000129048			
ENSG00000206013	NM_001025295	NP_001020466	
ENSG00000177398	NM_001199528	NP_001186457	
ENSG00000206299		NP_061313	
ENSG00000185974	NM_002929	NP_002920	
ENSG00000050393	NM_001031713	NP_001026883	
ENSG00000204618	NM_025236	NP_079512	
ENSG00000133789			
ENSG00000164096	NM_001001701	NP_001163801	
ENSG00000164096	NM_001170330	NP_001163801	
ENSG00000164096	NM_001001701	NP_001001701	
ENSG00000164096	NM_001170330	NP_001001701	
ENSG00000177398	NM_173568	NP_775839	
ENSG00000177398	NM_173568	NP_001186456	
ENSG00000206299			
ENSG00000185974			
ENSG00000177398	NM_001004416	NP_001186457	
ENSG00000177398	NM_001004416	NP_001004416	
ENSG00000204618			
ENSG00000116748	NM_000036	NP_000027	
ENSG00000112619	NM_000322	NP_000313	
ENSG00000145919	NM_138369	NP_612378	
ENSG00000162413	NM_014851	NP_055666	
ENSG00000133789	NM_015055	NP_055870	
ENSG00000206466			
ENSG00000050393			
ENSG00000004864	NM_014251	NP_055066	
ENSG00000116748	NM_001172626	NP_001166097	
ENSG00000258729			
ENSG00000162413			
ENSG00000224389			
ENSG00000145919	NM_001159651	NP_001153123	
ENSG00000116748			
ENSG00000206480	NM_005803	NP_005794	
ENSG00000184497	NM_182614	NP_872420	
ENSG00000145919			
ENSG00000116748	NM_000036		
ENSG00000196358	NM_032536	NP_115925	
ENSG00000206480			
ENSG00000204933			
ENSG00000180644	NM_005041	NP_001076585	
ENSG00000180644	NM_001083116	NP_001076585	
ENSG00000180644	NM_005041	NP_005032	
ENSG00000180644	NM_001083116	NP_005032	
ENSG00000188163			
ENSG00000196358			
ENSG00000184497			
ENSG00000160796	NM_015175	NP_055990	
ENSG00000177398			
ENSG00000188163	NM_001001710	NP_001001710	
ENSG00000160796			
ENSG00000109466	NM_007246	NP_001154994	
ENSG00000109466	NM_001161521	NP_001154994	
ENSG00000109466	NM_007246	NP_009177	
ENSG00000109466	NM_001161521	NP_009177	
ENSG00000131126	NM_031451	NP_113639	
ENSG00000131126	NM_031451	NP_001123483	
ENSG00000124659	NM_003192	NP_003183	
ENSG00000109466			
ENSG00000131126	NM_001130011	NP_001123483	
ENSG00000004864	NM_014251	NP_001153682	
ENSG00000004864	NM_001160210	NP_001153682	
ENSG00000185201			
ENSG00000139515	NM_000209	NP_000200	
ENSG00000071054			
ENSG00000185201	NM_006435	NP_006426	
ENSG00000109466	NM_001161521	NP_001154993	
ENSG00000004864			
ENSG00000165948	NM_206949	NP_660292	
ENSG00000165948	NM_145249	NP_660292	
ENSG00000165948	NM_206949	NP_996832	
ENSG00000165948	NM_145249	NP_996832	
ENSG00000031691	NM_018132	NP_060602	
ENSG00000125861	NM_022139	NP_071422	
ENSG00000124466	NM_014400	NP_055215	
ENSG00000166340	NM_000391	NP_000382	
ENSG00000124466			
ENSG00000125861	NM_145762	NP_665705	
ENSG00000180389			
ENSG00000125861			
ENSG00000081307	NM_024818	NP_079094	
ENSG00000081307	NM_024818	NP_938143	
ENSG00000170959		NP_065920	
ENSG00000166340			
ENSG00000081307			
ENSG00000165948			
ENSG00000170959			
ENSG00000165556	NM_001265	NP_001256	
ENSG00000165556			
ENSG00000109466	NM_001161522	NP_001154994	
ENSG00000197905	NM_201441	NP_958849	
ENSG00000183463	NM_001105577	NP_001099047	
ENSG00000081307	NM_198329	NP_938143	
ENSG00000197905			
ENSG00000185499	NM_001204293	NP_001191222	
ENSG00000176531	NM_198850	NP_942147	
ENSG00000170959	NM_020869		
ENSG00000163812			
ENSG00000231737	NM_002714	NP_002705	
ENSG00000105755	NM_014297	NP_055112	
ENSG00000204221			
ENSG00000141380	NM_001007559	NP_001007560	
ENSG00000066739	NM_018036	NP_060506	
ENSG00000141380	NM_005637	NP_005628	
ENSG00000112624	NM_015349	NP_056164	
ENSG00000141380			
ENSG00000231737			
ENSG00000172893			
ENSG00000198677	NM_014639	NP_055454	
ENSG00000112624			
ENSG00000119541	NM_004869	NP_004860	
ENSG00000213281	NM_002524	NP_002515	
ENSG00000197905	NM_003213	NP_958851	
ENSG00000197905	NM_003213	NP_003204	
ENSG00000135709			
ENSG00000163812	NM_016598	NP_057682	
ENSG00000176472		NP_777605	
ENSG00000176472	NM_174945	NP_777605	
ENSG00000135709	NM_014732	NP_055547	
ENSG00000163812	NM_001135179	NP_001128651	
ENSG00000206075	NM_002639	NP_002630	
ENSG00000183087	NM_000820	NP_001137418	
ENSG00000183087	NM_000820	NP_001137417	
ENSG00000183087	NM_000820	NP_000811	
ENSG00000015153	NM_001190979	NP_001177908	
ENSG00000197905	NM_201443	NP_958851	
ENSG00000206075			
ENSG00000015153	NM_005748	NP_005739	
ENSG00000198677			
ENSG00000136813			
ENSG00000015153	NM_001190977	NP_001177906	
ENSG00000082269	NM_001162529	NP_001156001	
ENSG00000204498	NM_001144962	NP_001138434	
ENSG00000111790	NM_015633	NP_056448	
ENSG00000203972	NM_001010904	NP_001010904	
ENSG00000183087		NP_001137418	
ENSG00000183087		NP_001137417	
ENSG00000111790			
ENSG00000203972			
ENSG00000015153			
ENSG00000082269			
ENSG00000121634	NM_005267	NP_005258	
ENSG00000145384	NM_000134	NP_000125	
ENSG00000111790	NM_001171888	NP_001165359	
ENSG00000172893	NM_001360	NP_001157289	
ENSG00000172893	NM_001163817	NP_001157289	
ENSG00000172893	NM_001360	NP_001351	
ENSG00000172893	NM_001163817	NP_001351	
ENSG00000138316	NM_139155	NP_631894	
ENSG00000136813	NM_001080398	NP_001073867	
ENSG00000183087	NM_001143945	NP_001137418	
ENSG00000183087	NM_001143945	NP_001137417	
ENSG00000233095		NP_002118	
ENSG00000111790	NM_001171887	NP_001165358	
ENSG00000183087	NM_001143946	NP_001137418	
ENSG00000104826			
ENSG00000138316	NM_080722	NP_542453	
ENSG00000204498	NM_005007	NP_001138434	
ENSG00000204498	NM_005007	NP_004998	
ENSG00000197261	NM_001145652	NP_001139124	
ENSG00000104826	NM_000894	NP_000885	
ENSG00000229450			
ENSG00000122025	NM_004119	NP_004110	
ENSG00000233095			
ENSG00000166634	NM_080474	NP_536722	
ENSG00000197261			
ENSG00000204498	NM_001144963	NP_001138435	
ENSG00000204498	NM_001144961	NP_001138435	
ENSG00000204498	NM_001144963	NP_001138433	
ENSG00000204498	NM_001144961	NP_001138433	
ENSG00000166634			
ENSG00000206298	NM_004159	NP_004150	
ENSG00000122025			
ENSG00000140104			
ENSG00000082269	NM_020819	NP_065870	
ENSG00000204498			
ENSG00000206298	NM_148919	NP_683720	
ENSG00000073050	NM_006297	NP_006288	
ENSG00000073050			
ENSG00000205336	NM_005682	NP_001139246	
ENSG00000205336	NM_201525	NP_001139246	
ENSG00000205336	NM_201524	NP_001139246	
ENSG00000205336	NM_001145774	NP_001139246	
ENSG00000205336	NM_001145770	NP_001139246	
ENSG00000205336	NM_001145772	NP_001139246	
ENSG00000205336	NM_005682	NP_001139245	
ENSG00000205336	NM_201525	NP_001139245	
ENSG00000205336	NM_201524	NP_001139245	
ENSG00000205336	NM_001145774	NP_001139245	
ENSG00000205336	NM_001145770	NP_001139245	
ENSG00000205336	NM_001145772	NP_001139245	
ENSG00000205336	NM_005682	NP_001139244	
ENSG00000205336	NM_201525	NP_001139244	
ENSG00000205336	NM_201524	NP_001139244	
ENSG00000205336	NM_001145774	NP_001139244	
ENSG00000205336	NM_001145770	NP_001139244	
ENSG00000205336	NM_001145772	NP_001139244	
ENSG00000205336	NM_005682	NP_001139242	
ENSG00000205336	NM_201525	NP_001139242	
ENSG00000205336	NM_201524	NP_001139242	
ENSG00000205336	NM_001145774	NP_001139242	
ENSG00000205336	NM_001145770	NP_001139242	
ENSG00000205336	NM_001145772	NP_001139242	
ENSG00000205336	NM_005682	NP_958933	
ENSG00000205336	NM_201525	NP_958933	
ENSG00000205336	NM_201524	NP_958933	
ENSG00000205336	NM_001145774	NP_958933	
ENSG00000205336	NM_001145770	NP_958933	
ENSG00000205336	NM_001145772	NP_958933	
ENSG00000205336	NM_005682	NP_958932	
ENSG00000205336	NM_201525	NP_958932	
ENSG00000205336	NM_201524	NP_958932	
ENSG00000205336	NM_001145774	NP_958932	
ENSG00000205336	NM_001145770	NP_958932	
ENSG00000205336	NM_001145772	NP_958932	
ENSG00000206560	NM_001195098	NP_056014	
ENSG00000206560	NM_001195099	NP_056014	
ENSG00000206560	NM_015199	NP_056014	
ENSG00000206560	NM_001195098	NP_001182027	
ENSG00000206560	NM_001195099	NP_001182027	
ENSG00000206560	NM_015199	NP_001182027	
ENSG00000206560	NM_001195098	NP_001182028	
ENSG00000206560	NM_001195099	NP_001182028	
ENSG00000206560	NM_015199	NP_001182028	
ENSG00000172432			
ENSG00000206298			
ENSG00000197641			
ENSG00000082269	NM_001105531	NP_001099001	
ENSG00000140104	NM_174891	NP_777551	
ENSG00000205336	NM_005682	NP_001139243	
ENSG00000205336	NM_001145771	NP_001139243	
ENSG00000205336	NM_005682	NP_005673	
ENSG00000205336	NM_001145771	NP_005673	
ENSG00000135164	NM_021145	NP_001135799	
ENSG00000135164	NM_001142327	NP_001135799	
ENSG00000135164	NM_021145	NP_001135798	
ENSG00000135164	NM_001142327	NP_001135798	
ENSG00000135164	NM_021145	NP_066968	
ENSG00000135164	NM_001142327	NP_066968	
ENSG00000071054	NM_145686	NP_663719	
ENSG00000107554			
ENSG00000249624			
ENSG00000205336	NM_001145771	NP_001139246	
ENSG00000205336	NM_001145771	NP_001139245	
ENSG00000205336	NM_001145771	NP_001139244	
ENSG00000205336	NM_001145771	NP_001139242	
ENSG00000205336	NM_001145771	NP_958933	
ENSG00000205336	NM_001145771	NP_958932	
ENSG00000135164			
ENSG00000205336	NM_001145773	NP_001139243	
ENSG00000205336	NM_201525	NP_001139243	
ENSG00000205336	NM_001145773	NP_005673	
ENSG00000205336	NM_201525	NP_005673	
ENSG00000146731	NM_001762	NP_001753	
ENSG00000256391			
ENSG00000196866	NM_021065	NP_066409	
ENSG00000107554	NM_015221	NP_056036	
ENSG00000146731	NM_001009186	NP_001009186	
ENSG00000015153	NM_005748		
ENSG00000015153	NM_001190979		
ENSG00000015153	NM_001190977		
ENSG00000153789			
ENSG00000153789	NM_198491	NP_940893	
ENSG00000205336			
ENSG00000071054	NM_001242559	NP_001229488	
ENSG00000071054	NM_145687	NP_663720	
ENSG00000197641	NM_012397	NP_036529	
ENSG00000237335		NP_001172110	
ENSG00000237335		NP_055075	
ENSG00000146731			
ENSG00000237335	NM_001185181	NP_001172110	
ENSG00000237335	NM_001185181	NP_055075	
ENSG00000229524		NP_004630	
ENSG00000229524		NP_001092004	
ENSG00000229524		NP_542434	
ENSG00000229524		NP_542433	
ENSG00000237335			
ENSG00000237335	NM_014260	NP_001172110	
ENSG00000237335	NM_014260	NP_055075	
ENSG00000226111	NM_014046	NP_054765	
ENSG00000145040	NM_033199	NP_149976	
ENSG00000164458	NM_003181	NP_003172	
ENSG00000177352	NM_022903	NP_075054	
ENSG00000226111			
ENSG00000186897	NM_001008223	NP_001008224	
ENSG00000229524			
ENSG00000243646	NM_000628	NP_000619	
ENSG00000164458			
ENSG00000243646			
ENSG00000104529			
ENSG00000135164	NM_001142326	NP_001135798	
ENSG00000197768			
ENSG00000071054	NM_004834	NP_004825	
ENSG00000185909	NM_173546	NP_775817	
ENSG00000184261	NM_022055	NP_071338	
ENSG00000197768	NM_001004353	NP_001004353	
ENSG00000241837			
ENSG00000133812	NM_030962	NP_112224	
ENSG00000206073	NM_002974	NP_002965	
ENSG00000133812			
ENSG00000206073			
ENSG00000188092	NM_016334	NP_001091081	
ENSG00000188092	NM_016334	NP_001091082	
ENSG00000188092	NM_016334	NP_057418	
ENSG00000185909			
ENSG00000116273	NM_153812	NP_722519	
ENSG00000131149	NM_001134473	NP_001127945	
ENSG00000131149			
ENSG00000130649	NM_000773	NP_000764	
ENSG00000138735	NM_001083	NP_001074	
ENSG00000138735	NM_033430	NP_001074	
ENSG00000138735	NM_001083	NP_246273	
ENSG00000138735	NM_033430	NP_246273	
ENSG00000130649			
ENSG00000135164	NM_001142326	NP_001135799	
ENSG00000135164	NM_001142326	NP_066968	
ENSG00000146223	NM_198486	NP_940888	
ENSG00000178401	NM_024902	NP_079178	
ENSG00000184385			
ENSG00000138735	NM_033430	NP_236914	
ENSG00000223980			
ENSG00000168872	NM_018332	NP_060802	
ENSG00000138735			
ENSG00000168872			
ENSG00000131149	NM_014615	NP_055430	
ENSG00000131149	NM_001134473	NP_055430	
ENSG00000131149	NM_014615	NP_001127945	
ENSG00000196155	NM_015432	NP_001123201	
ENSG00000196155	NM_001129727	NP_001123201	
ENSG00000196155	NM_001129728	NP_001123201	
ENSG00000196155	NM_001129729	NP_001123201	
ENSG00000196155	NM_015432	NP_001123199	
ENSG00000196155	NM_001129727	NP_001123199	
ENSG00000196155	NM_001129728	NP_001123199	
ENSG00000196155	NM_001129729	NP_001123199	
ENSG00000196155	NM_015432	NP_056247	
ENSG00000196155	NM_001129727	NP_056247	
ENSG00000196155	NM_001129728	NP_056247	
ENSG00000196155	NM_001129729	NP_056247	
ENSG00000196155	NM_015432	NP_001123200	
ENSG00000196155	NM_001129727	NP_001123200	
ENSG00000196155	NM_001129728	NP_001123200	
ENSG00000196155	NM_001129729	NP_001123200	
ENSG00000149451	NM_025220	NP_079496	
ENSG00000131149		NP_001127945	
ENSG00000149451			
ENSG00000206560			
ENSG00000172432	NM_019096	NP_061969	
ENSG00000241837	NM_001697	NP_001688	
ENSG00000196155	NM_001129731	NP_001123203	
ENSG00000041988	NM_001195752	NP_001182682	
ENSG00000041988	NM_001195753	NP_001182682	
ENSG00000235715	NM_148919	NP_683720	
ENSG00000146223			
ENSG00000041988		NP_001182681	
ENSG00000149451	NM_153202	NP_694882	
ENSG00000235715			
ENSG00000146147			
ENSG00000188682			
ENSG00000138735	NM_033437	NP_246273	
ENSG00000041988	NM_138350	NP_612359	
ENSG00000235715	NM_004159	NP_004150	
ENSG00000104827	NM_000737	NP_000728	
ENSG00000104827	NM_000737	NP_149439	
ENSG00000104827	NM_000737	NP_149032	
ENSG00000229524		NP_001186626	
ENSG00000229524		NP_001186627	
ENSG00000234547			
ENSG00000009307	NM_001242893	NP_001229822	
ENSG00000009307	NM_007158	NP_001229822	
ENSG00000009307	NM_001242893	NP_009089	
ENSG00000009307	NM_007158	NP_009089	
ENSG00000152520	NM_175854	NP_787050	
ENSG00000188682	NM_181807	NP_861523	
ENSG00000104818	NM_033378	NP_203696	
ENSG00000152520	NM_175854		
